Question id,Question,Option 1,Option 2,Option 3,Option 4,Correct Option,Generated Option,Truth
351,"If Ram’s house is located to the south of Krishna’s house and govnda’s house is to the East of Krishna’s house, in which direction is Ram’s house situated with respect to Govinda’s house?",a. North – East,b. North – West,c. South – East,d. South – West,d,b,Wrong
352,In a certain code language COMPUTER is written as RFUVQNPC  How will MEDICINE be written in that code language?,a. MFEDJJOE,b. EOJDJEFM,c. MFFJDJOE,d. EMJDJEFM,b,c,Wrong
353,Which of the following words cannot be formed using the letters given in the word Father?,a. Heater,b. Cheat,c. Fear,d. Tear,b,c,Wrong
354,Arun is the father of Rohit  Rohit is the brother of Mala  Mala is the wife of Dalip  How is Dalip related to Rohit?,a. Brother-in-law,b. Father-in-law,c. Son,d. Uncle,a,b,Wrong
355,Aman is the son of Sameer  Alka is the daughter of Aman  Shaila is the wife of Aman  Mohan is the son of Shaila  How is Alka related to Mohan?,a. Sister,b. Uncle,c. Son,d. Father,a,b,Wrong
356,"In certain code language pic vic nic means winter is cold, to nic re means summer is hot  vic tho pa means nights are cold then what will be the code of cold?",a. to,b. nic,c. pic,d. vic,d,b,Wrong
357,"In the morning at sunrise Munbahadur and Dhanbahadur are talking to each other face to face  If Munabahadur’s shadow is exactly to his left side, then which direction is Dhanbahadur facing?",a. East,b. West,c. North,d. South,d,a,Wrong
358,"A family consists of a man, his wife and three sons  All three sons have their wives and three children  How many members are there in the family?",a. 17,b. 15,c. 12,d. 13,a,a,Right
359,"If Republic day was celebrated on Sunday in the year 1997, then on which day Independence day would have been celebrated in that year?",a. Tuesday,b. Friday,c. Saturday,d. Wednesday,b,c,Wrong
360,"Five books are kept on a table  Economics book is above Maths  Sanskrit is below Hindi  Maths is above Hindi but Science is below Sanskrit, then which book is in the middle?",a. Hindi,b. Sanskrit,c. Science,d. Maths,a,b,Wrong
361,"A, B, C and D are four buildings  A is higher than only D  B is shorter than C but higher than A  Which is the highest building?",a. A,b. B,c. C,d. D,c,c,Right
362,"P is the father of R, but R is not his son  T is the daughter of R  U is the wife of P  Q is the brother of R  S is the son of Q  V is the wife of Q  W is father of V  Who is the sister-in-law of R?",a. S,b. V,c. U,d. T,b,b,Right
363,"If 1 March 1997 was a Saturday, then what was the day on 1 March 2000?",a. Monday,b. Tuesday,c. Wednesday,d. Friday,c,a,Wrong
364,"Rahul put his timepiece on the table in such a way that at 6 PM the hour hand points to North, then in which direction will the minute hand point at 9 15 PM?",a. East,b. South,c. North,d. West,d,b,Wrong
365,"If + denotes ÷, – denotes , denotes -, and ÷ denotes + then, 35 + 7 – 5 ÷ 5",a. 36,b. 24,c. 20,d. 14,b,b,Right
366,If RUSH is coded as 66 then what will be the code for GIRL?,a. 74,b. 64,c. 47,d. 46,d,46,Wrong
367,"Five senior citizens are living in a multi-storeyed building  Mr  Muan lives in a flat above Mr  Ashokan  Mr  Lokesh lives in a flat below Mr  Gaurav, Mr  Ashoka lives in a flat above Mr  Gaurav and Mr  Rakesh lives in a flat below Mr  Lokesh  Who lives in the topmost flat?",a. Mr. Lokesh,b. Mr. Gaurav,c. Mr. Muan,d. Mr. Rakesh,c,c,Right
368,"Six persons A, B, C, D, E and F are sitting in two rows  Three persons are sitting in each row  E is not sitting at the end of any row  D is second to the left of F  C, the neighbour of E, is sitting diagonally opposite to D  B is the neighbour of F  Which of the following are sitting in one of the two rows?","a. D, B and F","b. C, E and B","c. A, E and F","d. F, B and C",a,d,Wrong
369,The time on two clocks is corrected at 10 AM on Sunday  One clock loses 3 minutes in an hour while the other gains 2 minutes in an hour  By how many minutes do the two clocks differ at 4 PM on the same day?,a. 25 minutes,b. 20 minutes,c. 35 minutes,d. 30 minutes,d,c,Wrong
370,"In 1980, Indian Republic Day was on Saturday  ‘X’ was born on March 3, 1980  If ‘Y’ is four days elder than ‘X’, then on which day was ‘Y’ born?",a. Thursday,b. Friday,c. Saturday,d. None of these,a,b,Wrong
371,Reena said “The woman walking on the road is my father’s wife  “How is the woman related to Reena?,a. Sister,b. Aunt,c. Mother,d. Daughter,c,c,Right
372,"The ratio of the present age of Sameer and Milan is 8:5  After 6 years, the ratio of their ages will be 3:2  What will be the ratio between the sum of their present ages and the difference of their present ages?",a. 39 : 19,b. 33 : 9,c. 12 : 7,d. 13 : 3,d,33 : 9,Wrong
373,"10 years ago, Neha’s mother was four times older than Neha  After 10 years, Neha’s mother age will be twice of Neha’s age  How old is Neha now?",a. 10 Years,b. 15 Years,c. 17 Years,d. 20 Years,d,c,Wrong
374,A river flows west to east and on the way turns left and goes in a semi-circle around a hillock and turns left at right angles  In which direction is the river finally flowing?,a. West,b. East,c. North,d. None of these,b,b,Right
375,"Who sought to build a cooperative community called “New Harmony,” in the United States of America?",a. Robert Owen,b. Louis Blanc,c. Karl Marx,d. Friedrich Engels,a,a,Right
376,With which country the Bolsheviks made a treaty at Brest Litovsk?,a. Italy,b. France,c. Austria,d. Germany,d,d,Right
377,‘Vietnam Cong San Dang’ Party was established by-,a.Liang Qichao,b. Phan Boi Chau,c. Phan chu Trinh,d. Ho chi Minh,d,d,Right
378,In which session of Indian National Congress Non -cooperation programme was adopted?,"a. Nagpur, 1920","b. Amritsar, 1919",c. Ahmedabad 1921,"d. Gaya, 1922",a,c,Wrong
379,Philosophy behind the Indian constitution is known through-,a. The Preamble,b. Fundamental Rights,c. Directive Principles of State Policy,d. Right to Constitutional Remedies,a,c,Wrong
380,Minimum condition /conditions of a democratic election is/are-,a. Everyone should be able to choose. This means that everyone should have the right to vote and every vote should have equal value.,b. There should be something to choose from. Parties and candidates should be free to contest elections and should offer some real choice to the voters.,c. The choice should be offered at regular intervals. Elections must be held regularly after a few years.,d. All of the above.,d,d,Right
381,"In India, the supreme power/powers Lok Sabha exercises over the Rajya Sabha is/ are:-","a.In a joint session, members of both the Houses sit together. Because of the larger number of members, the view of the Lok Sabha is likely to prevail in such a meeting.","b.Once the Lok Sabha passes the budget of the government or any other money-related law, the Rajya Sabha cannot reject it.",c.Only a person who enjoys the support of the majority of the members in the Lok Sabha is appointed the Prime Minister.,d.All of the above.,d,d,Right
382,The Supreme Court of India can take up any dispute,a. Between citizens of the country.,b. Between citizens and government.,c. Between the Union government and the state government.,d. All of the above.,d,d,Right
383,Feature/features of a federal form of government is/are-,a. There are two or more levels of government.,b. Different tiers of government govern the same citizens.,c. A single level of government cannot amend the fundamental provisions of the constitution at its own.,d. All of the above.,d,d,Right
384,Education is a subject of –,a. Union List,b. State List,c. Concurrent List,d. None of the above,c,c,Right
385,The third level (Local self-government) of the democratic government system was made more powerful and effective in-,a. 1992,b. 1993,c. 1994,d. 1996,a,b,Wrong
386,Which one of the following rivers flows through a rift valley?,a. Mahanadi,b. Krishna,c. Tungabhadra,d. Tapi,d,b,Wrong
387,A large proportion of children in a population is the result of-,a. High birth rate,b. High death rate,c. High life expectancy,d. None of the above,a,a,Right
388,Which one of the following characterises the cold-weather season in India?,a. Warm days and warm nights,b. Warm days and cold nights,c. Cold days and cold nights,d. Cold days and warm nights,b,c,Wrong
389,Which of the following conservation strategies does not directly involve communities ?,a. Joint forest management.,b. Beej Bachao Andolan.,c. Chipko Movement.,d. Demarcation of Wildlife sanctuaries,d,d,Right
390,The tropic of cancer does not pass through-,a. Rajasthan,b. Odisha,c. Chhattisgarh,d. Tripura,b,d,Wrong
391,What is’ The Himalayan Yew’?,a. Medicinal plant,b. Himalayan animal,c. Himalayan bird,d. None of these,a,d,Wrong
392,The finest type of Iron ore is –,a. Magnetite,b. Haematite,c. Limonite,d. Siderite,a,a,Right
393,In which field ‘ School Bhuvan Portal’ is providing map based learning to the students to bring awareness about their role,a. Country’s natural resources environment and sustainable development.,b. About the educational institutions of the country.,c. To provide career guidance to the students.,d. None of the above.,a,a,Right
394,Main purpose of buffer stock scheme is,a. To save food grains from pest attack,b. To stop price fluctuations,c. To meet the crisis of low production,d. Both (b) and (c),d,d,Right
395,Antyodaya Anna Yojana and Annapurna Scheme are linked with-,a. Public Distribution system,b. Mid-day Meal,c. Special Nutrition Programme.,d. None of these,a,a,Right
396,The two components of Indian government food security system are-,a. Buffer Stock and Public Distribution system,b. Mid day meal and Antyodaya Anna Yojna,c. Integrated Child Development Services and Food for Work Programme.,d. None of the above,a,a,Right
397,MGNREGA is associated with –,a. Creation of employment in rural areas,b. Creation of employment in urban areas,c. Creation of employment for the minorities,d. All of the above,a,a,Right
398,On which basis public and private sectors are categorised?,a. Conditions of employment,b. Nature of economic activities,c. Ownership of enterprises,d. Number of workers,c,c,Right
399,Which is not a feature of the organized sector?,a. Pension facility,b. Leave with pay facility,c. Entitled to medical benefits,d. Unsafe employment,d,d,Right
400,Which of the following factors is responsible for poverty according to social scientists-,a. Less Income,b. Less Consumption,c. Social Exclusion,d. All of the above,d,c,Wrong
401,The price that is announced before the sowing season is called –,a. Issue price,b. Fair price,c. Market price,d. Minimum support price,d,d,Right
402,Which sector includes agriculture and animal husbandry?,a. Primary sector,b. Secondary sector,c. Tertiary sector,d. None of the above,a,a,Right
403,"If sin x = 3/5, cos y = 12/13, then the value of tan x + tan y will be",a. 7/6,b. 5/6,c. 11/6,d. 6/7,a,c,Wrong
404,The mean of prime numbers between 20 and 30 is-,a. 21,b. 26,c. 25,d. 27,b,c,Wrong
405,"In an isosceles triangle, if the vertex angle is twice the sum of the base angles, then the value of vertex angle will be",a. 126o,b. 124o,c. 128o,d. 120o,d,c,Wrong
406,"In the given figure OCDE is a rectangle inscribed in a quadrant of a circle of 10 cm radius  If OE = 2√5 cm, then the area of rectangle will be",a. 38 cm2,b. 40 cm2,c. 42 cm2,d. 44 cm2,b,42,Wrong
407,The length of a chord which is at a distance of 4 cm from the centre of a circle of radius 6 cm will be-,a. 4√5 cm,b. 3√5 cm,c. 2√5 cm,d. 5√5 cm,a,a,Right
408,"The radius and slant height of the cone are in the ratio 4 : 7  If its curved surface area is 792 cm2, then its radius will be-",a. 12 cm,b. 4 cm,c. 9 cm,d. 7 cm,a,c,Wrong
409,A cone and a hemisphere have equal bases and equal volumes  Then the ratio of their heights will be-,a. 1:2,b. 1 : 1,c. 2 : 1,d. 1 : 3,c,2 : 1,Wrong
410,The mean of marks Scored by 100 students was found to be 40  Later on it was discovered that a Score of 53 was misread as 83  Then the correct mean will be-,a. 39 .7,b. 39.9,c. 39.6,d. 39.8,a,b. 39.9,Wrong
411,"For what value of p the points (11,4), (1, –1) and (p, 1) are collinear?",a. -5,b. -3,c. 3,d. 5,d,a,Wrong
412,The sum of probability of an event E and Probability of the event not E’ is always equal to,a. -1,b. 1,c. 0,d. ½,b,c,Wrong
413,"Two consecutive positive even integers, the sum of whose squares is 164, will be",a. 6 and 8,b. 8 and 10,c. 10 and 12,d. 4 and 6,b,a,Wrong
414,"Let ∆ABC ∼ ∆DEF and their areas be respectively, 64 cm2 and 121 cm2, If EF = 15 4 cm, then the value of BC is",a. 11.2 cm,b. 11.6 cm,c. 11.4 cm,d. 11.8 cm,a,c,Wrong
415,"How many terms of the A P  9, 17, 25…… must be taken to give a sum of 636",a. 13,b. 11,c. 14,d. 12,d,c,Wrong
416,"If the points A (6, 1), B (8, 2), C (9, 4) and D (p, 3) are the vertices of a parallelogram, taken in order, then the value of p will be –",a. 6,b. 9,c. 8,d. 7,d,d,Right
417,The length of the minute hand of a clock is 14 cm  The area swept by the minute hand in 5 minutes will be,a. 51 ½ cm2,b. 51 ⅓ cm2,c. 51 ¼ cm2,d. None of these,b,b,Right
418,A plant hormone which inhibits plant growth is,a. Auxin,b. Cytokinin,c. Gibberellin,d. Abscisic Acid,d,d,Right
419,The disease caused due to deficiency of iron in the human diet is,a. Anaemia,b. Goitre,c. Scurvy,d. None of the above,a,a,Right
420,Oxygen-rich blood from the lungs comes to which chamber of the heart,a. Right atrium,b. Left atrium,c. Both (a) and (b),d. None of the above,b,b,Right
421,The enzyme that is responsible for break down of starch into simple sugar in human mouth is,a. Amylase,b. Pepsin,c. Lipase,d. Trypsin,a,a,Right
422,The mode of nutrition in fungi is –,a. Only saprotrophic,b. Saprotrophic or parasitic,c. Only parasitic,d. None of the above,b,b,Right
423,Which organelle of a cell contains its own DNA besides the nucleus?,a. Endoplasmic Reticulum,b. Golgi bodies,c. Mitochondria,d. Lysosome,c,c,Right
424,Which one of the following is not a bacterial disease?,a. Cholera,b. COVID-19,c. Tuberculosis,d. Anthrax,b,b,Right
425,Which of the following has an open circulatory system?,a. Arthropoda,b. Porifera,c. Annelida,d. Coelenterata,a,b,Wrong
426,Which of the following is not a component of phloem?,a. Stone cell,b. Sieve plate,c. Sieve tube,"d. Phloem parenchyma

Answer: (a)
Phloem consists of sieve plates, phloem fibres, sieve tubes, and phloem parenchyma. Stone cells are also called sclereids and constitute sclerenchymatous tissue.",a,a,Right
427,The function of centrosome is-,a. Formation of spindle fibres,b. Protein synthesis,c. Osmoregulation,d. Secretion,a,a,Right
428,Which of the following juice is secreted by pancreas?,a. Trypsin,b. Pepsin,c. Bile juice,d. Both (a) and (b),a,d,Wrong
429,A person suddenly spots a snake  His heart beat increases and blood pressure also goes up  Which hormone is being released in his body at that time?,a. Parathormone,b. Adrenalin,c. Corticoid,d. Thyroxine,b,b,Right
430,"In order to balance a chemical equation, it is necessary to satisfy the law of",a. Conservation of motion,b. Conservation of momentum,c. Conservation of energy,d. Conservation of mass,d,d,Right
431,Which one of the following is the weakest acid?,a. H2SO4,b. HNO4,c. H2SO3,d. HCl,c,c,Right
432,"A milkman adds a very small amount of baking soda to fresh milk, why?",a. To increase the rate of fermentation,b. To decrease the rate of fermentation,c. To increase the quality of milk,d. To make paneer,b,b,Right
433,In which reaction the addition and removal of oxygen take place simultaneously?,a. Oxidation reaction,b. Reduction reactions,c. Redox reactions,d. Precipitation reactions,c,c,Right
434,A piece of charcoal was heated over the flame of the burner  When it starts burning it is immediately dipped into a boiling tube containing water  Now this solution is transferred to another boiling tube and a piece of litmus paper is dipped into it  What will be the observation?,a. Blue litmus turns to red,b. Red litmus turns to blue,c. No change in the colour of litmus,d. None of the above,a,a,Right
435,Which of the following sets contains all the possible combustion products of methane?,"a. C, CO2, CO and H2O","b. C, CO and H2","c. CO2, CO, H2 and water",d. CO and water,a,a,Right
436,Strips of metal X were dipped into the solution of silver nitrate and zinc nitrate separately  A greyish metallic deposit was found on both the strips  Metal X could be,a. Cu,b. Mg,c. Pb,d. Fe,b,d,Wrong
437,A boy moving along a circular path of radius 10 m completes ¾ th of the circle in 10 sec  The magnitude of speed and velocity are,a. 4.71 m/s and 47.1 m/s,b. 4.71 m/s and 1.41 m/s,c. 1.41 m/s and 4.71 m/s,d. 1.41 m/s and 1.41 m/s,b,a,Wrong
438,Two objects have masses in the ratio 1:2  If the forces acting on them are in the ratio 2:1 then the ratio of their acceleration is –,a. 1:1,b. 1:2,c. 2:1,d. 4:1,d,1:2,Wrong
439,"The danger signals installed at the top of tall buildings are red in colour  These can be easily seen from a distance because among all other colours, the red light-",a. is scattered the most by smoke or fog.,b. is scattered the least by smoke or fog.,c. is absorbed the most by smoke or fog.,d. is absorbed the least by smoke or fog.,b,a,Wrong
440,"For a concave mirror of focal length 10 cm  to form twice magnified image, distance of object from its pole is/are",a. -5 cm,b. -15 cm,c. -10 cm,d. Both (a) and (b),d,b,Wrong
441,"A light and a heavy object have same momentum, then",a. The kinetic energy of heavy object will be more.,b. The kinetic energy of heavy object will be less.,c. The kinetic energy of both objects will be same.,d. None of the above.,b,c,Wrong
442,"18, 30, 48, 72, 96, ___?",a. 96,b. 106,c. 115,d. 120,a,d,Wrong
443,"8, 1, 9, 10, 19, 29, ___?, 77",a. 38,b. 48,c. 52,d. 56,b,c,Wrong
444,"12, 32, 72, 152, ?, 632",a. 312,b. 515,c. 613,d. 815,a,c,Wrong
445,From the following which number will not be adjacent to 4?,a. 3,b. 8,c. 6,d. 7,a,b,Wrong
446,"In the following question, there is a specific relationship between the first and second term  The same relationship exists between the third and fourth term  Considering the relationship, select the correct alternative to replace question mark: 4 : 80 :: 21 : ?",a. 9702,b. 8702,c. 8820,d. 421,a,8702,Wrong
447,Who likes drawing?,a. Sushil and Vipin,b. Vipin and Prashant,c. Sushil and Prashant,d. Prashant and Amar,c,c,Right
448,If the base layer and top layer of a block are the same then at the most how many faces of the cube will be painted?,a. 3,b. 2,c. 1,d. 0,a,b,Wrong
449,FJUL : BOQQ :: LHRX : ?,a. BKPR,b. MNCC,c. HRYY,d. HMNC,d,c,Wrong
450,QPRS : TUWV :: JIKL : ?,a. MNOP,b. NMOP,c. MNPO,d. NMPO,c,c,Right
451,"Ishant is taller than Sanjay, Ashok is taller than Ishant, Sachin is not as tall as Ashok but taller than Ishant  Who is shortest in height?",a. Sanjay,b. Sachin,c. Ishant,d. Can’t be determined,a,a,Right
452,"BM26, EN70, HO120, KP176, __?",a. NQ250,b. NP224,c. MQ221,d. NQ238,d,a,Wrong
453,A map was so placed that north-west becomes south then what will east become?,a. South-west,b. North,c. North-east,d. West,a,c,Wrong
454,A map was so placed that south-east becomes west then what will north-east become?,a. South-west,b. West,c. North-west,d. South,b,c,Wrong
455,"If according to mathematical code 9+2=36, 8+3 = 72, 7+4=112 then 6+5=?",a. 84,b. 130,c. 75,d. 150,d,b,Wrong
456,"Ten years before the ratio of ages of Ram and Shyam was 1 : 7, ten years after the ratio of their ages is 1 : 3  Find the present age of Ram",a. 10 years,b. 20 years,c. 30 years,d. 70 years,b,c,Wrong
457,"In a certain code language if @ x ☆ = 45, ◡ x P = 48, P x ☆ = 40, and # x @ = 27 then find the value of #?",a. 5,b. 6,c. 3,d. 9,c,d,Wrong
458,"In a certain code language if ‖ means 4, |||||| means 12, @ means x, ⊙ means ÷, # means + and $ means – are used then find |||| @ |||||| $ |||| ⊙ || # |||||| = ?",a. 104,b. 106,c. 102,d. 30,b,b,Right
459,542687 code is for which word?,a. NATURE,b. NATEUR,c. NUTRAL,d. NURTAL,c,a,Wrong
460,261728 : ? : : 292031 : 332231,a. 281930,b. 302132,c. 362534,d. 352433,c,d,Wrong
461,37261718 : 49362524 : : 39271710 : ?,a. 39281920,b. 47352516,c. 47342322,d. 46342416,b,c,Wrong
462,"ABZ, DFX, GJV, JNT, ____?",a. MRR,b. QRQ,c. MRQ,d. QVR,a,b,Wrong
463,"COVIDNINETEEN, VIDNINETEENCO, DNINETEENCOVI, ________?",a. IDNINETEENCOV,b. NINETEENCOVID,c. INETEENCOVIDI,d. INETEENCOVIDN,d,d,Right
464,"RADIUS, RADSIU, RADSUI, RADUIS, ______?",a. RASDIU,b. RDAIUS,c. RADUSI,d. RAIDUS,c,c,Right
465,"H2J, K3N, O4S, _____?",a. T5Y,b. T5Z,c. T5X,d. T5A,a,a,Right
466,"3, 8, 15, 24, 35, __?",a. 52,b. 50,c. 48,d. 46,c,a,Wrong
467,"8, 24, 28, 140, 146, 1022, 1030, __?",a. 1040,b. 8240,c. 10300,d. 9270,d,a,Wrong
468,"2, 9, 3, 28, 4, 65, 5, __?",a. 137,b. 126,c. 118,d. 115,b,a. 137,Wrong
469,"2, 3, 7, 16, 32, __?",a. 57,b. 39,c. 56,d. 55,a,c,Wrong
470,"In a coded language, ONLINE is written as LNOENI and SILENT is written as LISTNE; then in the same coded language, LISTEN will be written as",a. ILSNET,b.  SILENT,c.  SILNET,d.  SILETN,c,d,Wrong
471,"In a coded language, AVOID is written as 73564 and CHINA is written as 28617; then in the same coded language, COVID will be written as",a. 53246,b.  25364,c.  25346,d.  25634,b,b,Right
472,"The two positions of a single cube are shown below  The six faces of this cube are coloured with Green, Yellow, Red, Black, Pink and White  If the Green coloured face is at top then what will be the colour at bottom’s face?",a. White,b. Green,c. Yellow,d. Red,a,c,Wrong
473,"If it was Tuesday on 24th March, 2020 then what was the day on 24th August, 2020",a. Wednesday,b. Tuesday,c. Monday,d. Sunday,c,c,Right
474,How many numbers from 10 to 200 are there which are divisible by 2 as well 7?,a. 13,b. 14,c. 15,d. 16,b,a,Wrong
475,Select the odd one,a. Chalk,b. Pen,c. Pencil,d. Map,d,d,Right
476,"In a class of 39 students, Mukesh’s rank is 7 more than Gautam’s rank  If Gautam’s rank from end is 17th, then what will be the rank of Mukesh from beginning?",a. 13th,b. 14th,c. 15th,d. 16th,d,a. 13th,Wrong
477,"From 14 December, 2020, morning 4 O’ clock to 15 December, 2020, morning 4 O’ clock  How many times, the minute hand & hour hand of a clock will overlap",a. 21,b. 22,c. 23,d. 24,b,c,Wrong
478,As clay is related to pottery in the same way gold is related to which of the following,a. Woman,b. Goldsmith,c. Ornaments,d. Metal,c,b,Wrong
479,"As birds are related to kites, in the same way fish is related to which of the following",a. Crow,b. Submarine,c. Boy,d. Thread,b,b,Right
480,"As ‘gram’ is related to ‘mass’ in the same way, ‘Centimeter’ is related to",a. Area,b. Volume,c. Density,d. Length,d,d,Right
481,All the faces of a solid cube are coloured with red colour and then cut it into 64 small equal cubes,a. 12,b. 24,c. 30,d. 36,b,30,Wrong
482,How many cubes are such with two opposite faces are red coloured?,a. 0,b. 4,c. 6,d. 8,a,c,Wrong
483,How many cubes are such that two adjacent faces are red coloured and the remaining faces are not coloured?,a. 8,b. 12,c. 16,d. 24,d,c,Wrong
484,How many cubes are such that any of the faces is not coloured?,a. 6,b. 8,c. 10,d. 12,b,c,Wrong
485,"In numbers 5 8 1 3 2 7 6 4, how many digits are such that they are at the same distance from the beginning as if arranged in descending order?",a. Three,b. Two,c. One,d. None,d,b,Wrong
486,If the unit place digit and tens place digit of every number is interchanged then what will be the second greatest number?,a. 893,b. 863,c. 961,d. 725,a,b,Wrong
487,If the digits of every number are rearranged in such a way that if form the smallest possible number by the digits then what will be the biggest number out of them?,a. 368,b. 527,c. 691,d. 389,d,d,Right
488,"In the arithmetic expression given below, if the sign X and ÷ are interchanged then what will be the solution? 8 x 3 – 2 + 3 ÷3",a. 29 / 3,b. 9,c. 23,d. 23 / 3,a,d,Wrong
489,"In this question, ‘∆’ means “Greater than” ‘❏’ means “Less than”, ‘ϕ’ means, “equal to” and ‘⊕’ means “not equal to”  If C∆A, A∆B, DϕB, AND B⊕C, then choose the correct option in the following",a. D❏C,b. D∆C,c. A∆C,d. B⊕D,O,a,Wrong
490,"Darshan walked 4 meters in the East, then he turned right and walked 7 meters, then he turned left and walked 5 meters again he turned left and walked 7 meters  Then finally before stopping he turned right and walked 3 meters  How far is Darshan from his initial poin",a. 10 meter,b. 11 meter,c. 12 meter,d. 13 meter,c,c,Right
491,If a and b are natural numbers  If A +B = 2020 then what will be the value of (-1)a +(-1)b?,a. 1 or -1,b. 2020 or -2020,c. 1010 or -1010,d. 2 or -2,d,c,Wrong
492,A square is divided into four identical rectangles  The perimeter of each of these rectangles is 20 cm  What is the perimeter of the square?,a. 80 cm,b. 50 cm,c. 48 cm,d. 32 cm,d,a,Wrong
493,What is the difference between the biggest 3-digit number having 8 as tens place and divisible by 4 and smallest 3-digit number having 8 as tens place and divisible by 4?,a. 888,b. 808,c. 708,d. 788,b,c,Wrong
494,What will be the angle between minute hand and hour hand of a watch at 12:30?,a. 180o,b. 150o,c. 175o,d. 165o,d,d,Right
495,"If force, momentum and displacement are represented by A, B and C respectively, then the term (AC / B)will represent:",a. Momentum,b. Acceleration,c. Velocity,d. Displacement,c,a,Wrong
496,The mass of a person on earth surface is 60 kg then his mass on the moon will be,a. 60 kg,b. 360 kg,c. 20 kg,d. 10 kg,a,a,Right
497,"On halved the distance between two masses, the gravitational force between them will be",a. Half,b. One-fourth,c. Four times,d. Double,c,b,Wrong
498,If the speed of the wave is 250 m/s and its wavelength is 50 cm then the frequency will be,a. 5 Hz,b. 500 Hz,c. 50 Hz,d. 12500 Hz,b,c,Wrong
499,Lens formula is,a. \(\begin{array}{l}\frac{1}{v} + \frac{1}{u} = \frac{1}{f}\end{array} \),b. \(\begin{array}{l}\frac{1}{v} + \frac{1}{2u} = \frac{1}{f}\end{array} \),c. \(\begin{array}{l}\frac{1}{v} – \frac{1}{u} = \frac{1}{f}\end{array} \),d. \(\begin{array}{l}\frac{1}{v} – \frac{1}{2u} = \frac{1}{f}\end{array} \),c,a,Wrong
500,Focal length of a lens is 50 cm  In dioptre power of lens will be,a.  0.02,b.  2,c.  0.2,d.  50,b,c,Wrong
501,Correct relation between radius of curvature (R) and Focal length (F) of spherical mirror is,a.  R = F/2,b.  R = F,c.  R = 2F,d.  R = (F)2,c,c,Right
502,"The resistance of a bulb marked ‘220V, 10W’ is",a. 242 Ω,b. 4840 Ω,b. 121 Ω,d. Zero,b,121,Wrong
503,Number of molecules present in 0 25 moles of water are –,a. 3.011 x 1023,b. 0.11 x 1023,c. 1.5055 x 1023,d. 15.055 x 1023,c,a,Wrong
504,Substance having equivalent number of molecules as in 9g of water,a. 12 g of Magnesium,b. 12 g of Carbon,c. 17 g of Ammonia,d. 11 g of Carbon Dioxide,a,c,Wrong
505,Molecular formula of chloride of a metal ‘M’ is MCl2  Molecular formula of oxide of ‘M’ will be,a. MO,b. M2O,c. MO2,d. M2O3,a,c,Wrong
506,Suitable method for separation of pure naphthalene from sandy naphthalene is,a. Filtration,b. Crystallisation,c. Sublimation,d. Distillation,c,c,Right
507,pH of the solution having hydrogen ion concentration [H+] = 1 X 10-4 mol/L will be,a. 3,b. 4,c. 7,d. 10,b,a,Wrong
508,Conjugate acid – base pair is,"a. \(\begin{array}{l}HCO_{3}^{-}, CO_{3}^{2-}\end{array} \)","b. \(\begin{array}{l}NH_{4}^{+}, NH_{2}^{-}\end{array} \)","c. OH–, H2O2","d. \(\begin{array}{l}NO_{2}^{-}, NO_{3}^{-}\end{array} \)",a,b,Wrong
509,CuSO4 + Zn → ZnSO4 + Cu,a. Zn is less reactive as compared to Cu,b. Zn is more reactive as compared to Cu,c. Reactivity of Cu and Zn is equal,d. Zn is displaced by Cu,b,Option b,Wrong
510,Useful substance in preparation of freezing mixture is,a. NaOH,b. NaCl,c. NaHCO3,d. CaSO4.2H2O,b,d,Wrong
511,In which of the plant group the chitinous cell wall is found,a. Algae,b. Fungi,c. Thallophyta,d. Bryophyta,b,c,Wrong
512,The light reaction occurs in which part of the chloroplast,a. Stroma,b. Outer wall,c. Grana,d. None of above,c,c,Right
513,Lack of which element occurs when Algal Bloom is formed in a waterbody,a. Oxygen,b. Nitrogen,c. Hydrogen,d. Calcium,a,b,Wrong
514,The plant group called “pollution indicator” is,a. Bryophyta,b. Lichen,c. Gymnosperm,d. Pteridophyta,b,b,Right
515,Genotypic ratio of F2 generation in monohybrid cross is :,a. 3 : 1,b. 9 : 3 : 3 : 1,c. 1 : 2 : 1,d. 1 : 3,c,3 : 1,Wrong
516,"Disease caused by Virus, is",a. Malaria,b. Diphtheria,c. Chicken pox,d. Leprosy,c,c,Right
517,Which of the following is not a member of phylum Arthropoda?,a. House-fly,b. Earthworm,c. Shrimp,d. Cockroach,b,b,Right
518,"DNA synthesis occurs, in which stage of cell cycle",a. G-I phase,b. G-II phase,c. M-phase,d. S-phase,d,d,Right
519,Example of Fat digesting enzyme is,a. Amylase,b. Pepsin,c. Lipase,d. Nucleases,c,c,Right
520,Indian scientist known for research on cosmic rays and nuclear energy,a. Dr. Prafullachandra Roy,b. Chandra Shekhara Venkat Raman,c. Dr. Panchanan Maheshwari,d. Dr. Homi Jahangir Bhabha,d,d,Right
521,Disease caused by deficiency of vitamin – C is,a. Scurvy,b. Night blindness,c. Beri-beri,d. Rickets,a,a,Right
522,If polynomials 3x3 + x2 – 4x + P and 2x3 + Px2 + 3x – 3 are divided by (x-2) then get the same remainder  What will be the value of P,a. +3,b. ⅓,c. – ⅓,d. -3,b,b,Right
523,Numerator of a fraction is 3 less than its denominator  If 4 is added to the numerator and 2 is subtracted from the denominator then the numerator becomes 2 times of the denominator  What will be the fraction?,a. 5/2,b. 4/5,c. 2/5,d. 5/4,c,b,Wrong
