,Question,Option A,Option B,Option C,Option D,Correct Answer
1022,"Six persons A, B, C, D, E and F are sitting in two rows  Three persons are sitting in each row  E is not sitting at the end of any row  D is second to the left of F  C, the neighbour of E, is sitting diagonally opposite to D  B is the neighbour of F  Which of the following are sitting in one of the two rows?","a. D, B and F","b. C, E and B","c. A, E and F","d. F, B and C",(a)
1027,The time on two clocks is corrected at 10 AM on Sunday  One clock loses 3 minutes in an hour while the other gains 2 minutes in an hour  By how many minutes do the two clocks differ at 4 PM on the same day?,a. 25 minutes,b. 20 minutes,c. 35 minutes,d. 30 minutes,(d)
1029,"In 1980, Indian Republic Day was on Saturday  ‘X’ was born on March 3, 1980  If ‘Y’ is four days elder than ‘X’, then on which day was ‘Y’ born?",a. Thursday,b. Friday,c. Saturday,d. None of these,(a)
1033,Reena said “The woman walking on the road is my father’s wife  “How is the woman related to Reena?,a. Sister,b. Aunt,c. Mother,d. Daughter,(c)
1035,"The ratio of the present age of Sameer and Milan is 8:5  After 6 years, the ratio of their ages will be 3:2  What will be the ratio between the sum of their present ages and the difference of their present ages?",a. 39 : 19,b. 33 : 9,c. 12 : 7,d. 13 : 3,(d)
1038,"10 years ago, Neha’s mother was four times older than Neha  After 10 years, Neha’s mother age will be twice of Neha’s age  How old is Neha now?",a. 10 Years,b. 15 Years,c. 17 Years,d. 20 Years,(d)
1041,A river flows west to east and on the way turns left and goes in a semi-circle around a hillock and turns left at right angles  In which direction is the river finally flowing?,a. West,b. East,c. North,d. None of these,(b)
1044,"Who sought to build a cooperative community called “New Harmony,” in the United States of America?",a. Robert Owen,b. Louis Blanc,c. Karl Marx,d. Friedrich Engels,(a)
1047,With which country the Bolsheviks made a treaty at Brest Litovsk?,a. Italy,b. France,c. Austria,d. Germany,(d)
1051,‘Vietnam Cong San Dang’ Party was established by-,a.Liang Qichao,b. Phan Boi Chau,c. Phan chu Trinh,d. Ho chi Minh,(d)
1053,In which session of Indian National Congress Non -cooperation programme was adopted?,"a. Nagpur, 1920","b. Amritsar, 1919",c. Ahmedabad 1921,"d. Gaya, 1922",(a)
1057,Philosophy behind the Indian constitution is known through-,a. The Preamble,b. Fundamental Rights,c. Directive Principles of State Policy,d. Right to Constitutional Remedies,(a)
1059,Minimum condition /conditions of a democratic election is/are-,a. Everyone should be able to choose. This means that everyone should have the right to vote and every vote should have equal value.,b. There should be something to choose from. Parties and candidates should be free to contest elections and should offer some real choice to the voters.,c. The choice should be offered at regular intervals. Elections must be held regularly after a few years.,d. All of the above.,(d)
1061,"In India, the supreme power/powers Lok Sabha exercises over the Rajya Sabha is/ are:-","a.In a joint session, members of both the Houses sit together. Because of the larger number of members, the view of the Lok Sabha is likely to prevail in such a meeting.","b.Once the Lok Sabha passes the budget of the government or any other money-related law, the Rajya Sabha cannot reject it.",c.Only a person who enjoys the support of the majority of the members in the Lok Sabha is appointed the Prime Minister.,d.All of the above.,(d)
1063,The Supreme Court of India can take up any dispute,a. Between citizens of the country.,b. Between citizens and government.,c. Between the Union government and the state government.,d. All of the above.,(d)
1065,Feature/features of a federal form of government is/are-,a. There are two or more levels of government.,b. Different tiers of government govern the same citizens.,c. A single level of government cannot amend the fundamental provisions of the constitution at its own.,d. All of the above.,(d)
1067,Education is a subject of –,a. Union List,b. State List,c. Concurrent List,d. None of the above,(c)
1069,The third level (Local self-government) of the democratic government system was made more powerful and effective in-,a. 1992,b. 1993,c. 1994,d. 1996,(a)
1071,Which one of the following rivers flows through a rift valley?,a. Mahanadi,b. Krishna,c. Tungabhadra,d. Tapi,(d)
1073,A large proportion of children in a population is the result of-,a. High birth rate,b. High death rate,c. High life expectancy,d. None of the above,(a)
1075,Which one of the following characterises the cold-weather season in India?,a. Warm days and warm nights,b. Warm days and cold nights,c. Cold days and cold nights,d. Cold days and warm nights,(b)
1079,Which of the following conservation strategies does not directly involve communities ?,a. Joint forest management.,b. Beej Bachao Andolan.,c. Chipko Movement.,d. Demarcation of Wildlife sanctuaries,(d)
1081,The tropic of cancer does not pass through-,a. Rajasthan,b. Odisha,c. Chhattisgarh,d. Tripura,(b)
1083,What is’ The Himalayan Yew’?,a. Medicinal plant,b. Himalayan animal,c. Himalayan bird,d. None of these,(a)
1085,The finest type of Iron ore is –,a. Magnetite,b. Haematite,c. Limonite,d. Siderite,(a)
1087,In which field ‘ School Bhuvan Portal’ is providing map based learning to the students to bring awareness about their role,a. Country’s natural resources environment and sustainable development.,b. About the educational institutions of the country.,c. To provide career guidance to the students.,d. None of the above.,(a)
1089,Main purpose of buffer stock scheme is,a. To save food grains from pest attack,b. To stop price fluctuations,c. To meet the crisis of low production,d. Both (b) and (c),(d)
1091,Antyodaya Anna Yojana and Annapurna Scheme are linked with-,a. Public Distribution system,b. Mid-day Meal,c. Special Nutrition Programme.,d. None of these,(a)
1093,The two components of Indian government food security system are-,a. Buffer Stock and Public Distribution system,b. Mid day meal and Antyodaya Anna Yojna,c. Integrated Child Development Services and Food for Work Programme.,d. None of the above,(a)
1095,MGNREGA is associated with –,a. Creation of employment in rural areas,b. Creation of employment in urban areas,c. Creation of employment for the minorities,d. All of the above,(a)
1097,On which basis public and private sectors are categorised?,a. Conditions of employment,b. Nature of economic activities,c. Ownership of enterprises,d. Number of workers,(c)
1099,Which is not a feature of the organized sector?,a. Pension facility,b. Leave with pay facility,c. Entitled to medical benefits,d. Unsafe employment,(d)
1102,Which of the following factors is responsible for poverty according to social scientists-,a. Less Income,b. Less Consumption,c. Social Exclusion,d. All of the above,(d)
1104,The price that is announced before the sowing season is called –,a. Issue price,b. Fair price,c. Market price,d. Minimum support price,(d)
1106,Which sector includes agriculture and animal husbandry?,a. Primary sector,b. Secondary sector,c. Tertiary sector,d. None of the above,(a)
1109,"If sin x = 3/5, cos y = 12/13, then the value of tan x + tan y will be",a. 7/6,b. 5/6,c. 11/6,d. 6/7,(a)
1111,The mean of prime numbers between 20 and 30 is-,a. 21,b. 26,c. 25,d. 27,(b)
1116,"In an isosceles triangle, if the vertex angle is twice the sum of the base angles, then the value of vertex angle will be",a. 126o,b. 124o,c. 128o,d. 120o,(d)
1118,"In the given figure OCDE is a rectangle inscribed in a quadrant of a circle of 10 cm radius  If OE = 2√5 cm, then the area of rectangle will be",a. 38 cm2,b. 40 cm2,c. 42 cm2,d. 44 cm2,(b)
1120,The length of a chord which is at a distance of 4 cm from the centre of a circle of radius 6 cm will be-,a. 4√5 cm,b. 3√5 cm,c. 2√5 cm,d. 5√5 cm,(a)
1122,"The radius and slant height of the cone are in the ratio 4 : 7  If its curved surface area is 792 cm2, then its radius will be-",a. 12 cm,b. 4 cm,c. 9 cm,d. 7 cm,(a)
1124,A cone and a hemisphere have equal bases and equal volumes  Then the ratio of their heights will be-,a. 1:2,b. 1 : 1,c. 2 : 1,d. 1 : 3,(c)
1126,The mean of marks Scored by 100 students was found to be 40  Later on it was discovered that a Score of 53 was misread as 83  Then the correct mean will be-,a. 39 .7,b. 39.9,c. 39.6,d. 39.8,(a)
1130,"For what value of p the points (11,4), (1, –1) and (p, 1) are collinear?",a. -5,b. -3,c. 3,d. 5,(d)
1132,The sum of probability of an event E and Probability of the event not E’ is always equal to,a. -1,b. 1,c. 0,d. ½,(b)
1134,"Two consecutive positive even integers, the sum of whose squares is 164, will be",a. 6 and 8,b. 8 and 10,c. 10 and 12,d. 4 and 6,(b)
1136,"Let ∆ABC ∼ ∆DEF and their areas be respectively, 64 cm2 and 121 cm2, If EF = 15 4 cm, then the value of BC is",a. 11.2 cm,b. 11.6 cm,c. 11.4 cm,d. 11.8 cm,(a)
1138,"How many terms of the A P  9, 17, 25…… must be taken to give a sum of 636",a. 13,b. 11,c. 14,d. 12,(d)
1140,"If the points A (6, 1), B (8, 2), C (9, 4) and D (p, 3) are the vertices of a parallelogram, taken in order, then the value of p will be –",a. 6,b. 9,c. 8,d. 7,(d)
1142,The length of the minute hand of a clock is 14 cm  The area swept by the minute hand in 5 minutes will be,a. 51 ½ cm2,b. 51 ⅓ cm2,c. 51 ¼ cm2,d. None of these,(b)
1145,A plant hormone which inhibits plant growth is,a. Auxin,b. Cytokinin,c. Gibberellin,d. Abscisic Acid,(d)
1147,The disease caused due to deficiency of iron in the human diet is,a. Anaemia,b. Goitre,c. Scurvy,d. None of the above,(a)
1149,Oxygen-rich blood from the lungs comes to which chamber of the heart,a. Right atrium,b. Left atrium,c. Both (a) and (b),d. None of the above,(b)
1151,The enzyme that is responsible for break down of starch into simple sugar in human mouth is,a. Amylase,b. Pepsin,c. Lipase,d. Trypsin,(a)
1153,The mode of nutrition in fungi is –,a. Only saprotrophic,b. Saprotrophic or parasitic,c. Only parasitic,d. None of the above,(b)
1155,Which organelle of a cell contains its own DNA besides the nucleus?,a. Endoplasmic Reticulum,b. Golgi bodies,c. Mitochondria,d. Lysosome,(c)
1157,Which one of the following is not a bacterial disease?,a. Cholera,b. COVID-19,c. Tuberculosis,d. Anthrax,(b)
1159,Which of the following has an open circulatory system?,a. Arthropoda,b. Porifera,c. Annelida,d. Coelenterata,(a)
1161,Which of the following is not a component of phloem?,a. Stone cell,b. Sieve plate,c. Sieve tube,"d. Phloem parenchyma

Answer: (a)
Phloem consists of sieve plates, phloem fibres, sieve tubes, and phloem parenchyma. Stone cells are also called sclereids and constitute sclerenchymatous tissue.",(a)
1163,The function of centrosome is-,a. Formation of spindle fibres,b. Protein synthesis,c. Osmoregulation,d. Secretion,(a)
1165,Which of the following juice is secreted by pancreas?,a. Trypsin,b. Pepsin,c. Bile juice,d. Both (a) and (b),(a)
1167,A person suddenly spots a snake  His heart beat increases and blood pressure also goes up  Which hormone is being released in his body at that time?,a. Parathormone,b. Adrenalin,c. Corticoid,d. Thyroxine,(b)
1170,"In order to balance a chemical equation, it is necessary to satisfy the law of",a. Conservation of motion,b. Conservation of momentum,c. Conservation of energy,d. Conservation of mass,(d)
1174,Which one of the following is the weakest acid?,a. H2SO4,b. HNO4,c. H2SO3,d. HCl,(c)
1176,"A milkman adds a very small amount of baking soda to fresh milk, why?",a. To increase the rate of fermentation,b. To decrease the rate of fermentation,c. To increase the quality of milk,d. To make paneer,(b)
1180,In which reaction the addition and removal of oxygen take place simultaneously?,a. Oxidation reaction,b. Reduction reactions,c. Redox reactions,d. Precipitation reactions,(c)
1182,A piece of charcoal was heated over the flame of the burner  When it starts burning it is immediately dipped into a boiling tube containing water  Now this solution is transferred to another boiling tube and a piece of litmus paper is dipped into it  What will be the observation?,a. Blue litmus turns to red,b. Red litmus turns to blue,c. No change in the colour of litmus,d. None of the above,(a)
1185,Which of the following sets contains all the possible combustion products of methane?,"a. C, CO2, CO and H2O","b. C, CO and H2","c. CO2, CO, H2 and water",d. CO and water,(a)
1187,Strips of metal X were dipped into the solution of silver nitrate and zinc nitrate separately  A greyish metallic deposit was found on both the strips  Metal X could be,a. Cu,b. Mg,c. Pb,d. Fe,(b)
1189,A boy moving along a circular path of radius 10 m completes ¾ th of the circle in 10 sec  The magnitude of speed and velocity are,a. 4.71 m/s and 47.1 m/s,b. 4.71 m/s and 1.41 m/s,c. 1.41 m/s and 4.71 m/s,d. 1.41 m/s and 1.41 m/s,(b)
1191,Two objects have masses in the ratio 1:2  If the forces acting on them are in the ratio 2:1 then the ratio of their acceleration is –,a. 1:1,b. 1:2,c. 2:1,d. 4:1,(d)
1197,"The danger signals installed at the top of tall buildings are red in colour  These can be easily seen from a distance because among all other colours, the red light-",a. is scattered the most by smoke or fog.,b. is scattered the least by smoke or fog.,c. is absorbed the most by smoke or fog.,d. is absorbed the least by smoke or fog.,(b)
1202,"For a concave mirror of focal length 10 cm  to form twice magnified image, distance of object from its pole is/are",a. -5 cm,b. -15 cm,c. -10 cm,d. Both (a) and (b),(d)
1205,"A light and a heavy object have same momentum, then",a. The kinetic energy of heavy object will be more.,b. The kinetic energy of heavy object will be less.,c. The kinetic energy of both objects will be same.,d. None of the above.,(b)
1210,"18, 30, 48, 72, 96, ___?",a. 96,b. 106,c. 115,d. 120,(a)
1212,"8, 1, 9, 10, 19, 29, ___?, 77",a. 38,b. 48,c. 52,d. 56,(b)
1214,"12, 32, 72, 152, ?, 632",a. 312,b. 515,c. 613,d. 815,(a)
1217,From the following which number will not be adjacent to 4?,a. 3,b. 8,c. 6,d. 7,(a)
1219,"In the following question, there is a specific relationship between the first and second term  The same relationship exists between the third and fourth term  Considering the relationship, select the correct alternative to replace question mark: 4 : 80 :: 21 : ?",a. 9702,b. 8702,c. 8820,d. 421,(a)
1223,Who likes drawing?,a. Sushil and Vipin,b. Vipin and Prashant,c. Sushil and Prashant,d. Prashant and Amar,(c)
1227,If the base layer and top layer of a block are the same then at the most how many faces of the cube will be painted?,a. 3,b. 2,c. 1,d. 0,(a)
1246,FJUL : BOQQ :: LHRX : ?,a. BKPR,b. MNCC,c. HRYY,d. HMNC,(d)
1248,QPRS : TUWV :: JIKL : ?,a. MNOP,b. NMOP,c. MNPO,d. NMPO,(c)
1250,"Ishant is taller than Sanjay, Ashok is taller than Ishant, Sachin is not as tall as Ashok but taller than Ishant  Who is shortest in height?",a. Sanjay,b. Sachin,c. Ishant,d. Can’t be determined,(a)
1256,"BM26, EN70, HO120, KP176, __?",a. NQ250,b. NP224,c. MQ221,d. NQ238,(d)
1262,A map was so placed that north-west becomes south then what will east become?,a. South-west,b. North,c. North-east,d. West,(a)
1264,A map was so placed that south-east becomes west then what will north-east become?,a. South-west,b. West,c. North-west,d. South,(b)
1273,"If according to mathematical code 9+2=36, 8+3 = 72, 7+4=112 then 6+5=?",a. 84,b. 130,c. 75,d. 150,(d)
1275,"Ten years before the ratio of ages of Ram and Shyam was 1 : 7, ten years after the ratio of their ages is 1 : 3  Find the present age of Ram",a. 10 years,b. 20 years,c. 30 years,d. 70 years,(b)
1284,"In a certain code language if @ x ☆ = 45, ◡ x P = 48, P x ☆ = 40, and # x @ = 27 then find the value of #?",a. 5,b. 6,c. 3,d. 9,(c)
1286,"In a certain code language if ‖ means 4, |||||| means 12, @ means x, ⊙ means ÷, # means + and $ means – are used then find |||| @ |||||| $ |||| ⊙ || # |||||| = ?",a. 104,b. 106,c. 102,d. 30,(b)
1295,542687 code is for which word?,a. NATURE,b. NATEUR,c. NUTRAL,d. NURTAL,(c)
1299,261728 : ? : : 292031 : 332231,a. 281930,b. 302132,c. 362534,d. 352433,(c)
1301,37261718 : 49362524 : : 39271710 : ?,a. 39281920,b. 47352516,c. 47342322,d. 46342416,(b)
1306,"ABZ, DFX, GJV, JNT, ____?",a. MRR,b. QRQ,c. MRQ,d. QVR,(a)
1308,"COVIDNINETEEN, VIDNINETEENCO, DNINETEENCOVI, ________?",a. IDNINETEENCOV,b. NINETEENCOVID,c. INETEENCOVIDI,d. INETEENCOVIDN,(d)
1310,"RADIUS, RADSIU, RADSUI, RADUIS, ______?",a. RASDIU,b. RDAIUS,c. RADUSI,d. RAIDUS,(c)
1312,"H2J, K3N, O4S, _____?",a. T5Y,b. T5Z,c. T5X,d. T5A,(a)
1315,"3, 8, 15, 24, 35, __?",a. 52,b. 50,c. 48,d. 46,(c)
1317,"8, 24, 28, 140, 146, 1022, 1030, __?",a. 1040,b. 8240,c. 10300,d. 9270,(d)
1319,"2, 9, 3, 28, 4, 65, 5, __?",a. 137,b. 126,c. 118,d. 115,(b)
1324,"2, 3, 7, 16, 32, __?",a. 57,b. 39,c. 56,d. 55,(a)
1329,"In a coded language, ONLINE is written as LNOENI and SILENT is written as LISTNE; then in the same coded language, LISTEN will be written as",a. ILSNET,b.  SILENT,c.  SILNET,d.  SILETN,(c)
1331,"In a coded language, AVOID is written as 73564 and CHINA is written as 28617; then in the same coded language, COVID will be written as",a. 53246,b.  25364,c.  25346,d.  25634,(b)
1337,"The two positions of a single cube are shown below  The six faces of this cube are coloured with Green, Yellow, Red, Black, Pink and White  If the Green coloured face is at top then what will be the colour at bottom’s face?",a. White,b. Green,c. Yellow,d. Red,(a)
1339,"If it was Tuesday on 24th March, 2020 then what was the day on 24th August, 2020",a. Wednesday,b. Tuesday,c. Monday,d. Sunday,(c)
1341,How many numbers from 10 to 200 are there which are divisible by 2 as well 7?,a. 13,b. 14,c. 15,d. 16,(b)
1343,Select the odd one,a. Chalk,b. Pen,c. Pencil,d. Map,(d)
1358,"In a class of 39 students, Mukesh’s rank is 7 more than Gautam’s rank  If Gautam’s rank from end is 17th, then what will be the rank of Mukesh from beginning?",a. 13th,b. 14th,c. 15th,d. 16th,(d)
1360,"From 14 December, 2020, morning 4 O’ clock to 15 December, 2020, morning 4 O’ clock  How many times, the minute hand & hour hand of a clock will overlap",a. 21,b. 22,c. 23,d. 24,(b)
1367,As clay is related to pottery in the same way gold is related to which of the following,a. Woman,b. Goldsmith,c. Ornaments,d. Metal,(c)
1369,"As birds are related to kites, in the same way fish is related to which of the following",a. Crow,b. Submarine,c. Boy,d. Thread,(b)
1371,"As ‘gram’ is related to ‘mass’ in the same way, ‘Centimeter’ is related to",a. Area,b. Volume,c. Density,d. Length,(d)
1373,All the faces of a solid cube are coloured with red colour and then cut it into 64 small equal cubes,a. 12,b. 24,c. 30,d. 36,(b)
1375,How many cubes are such with two opposite faces are red coloured?,a. 0,b. 4,c. 6,d. 8,(a)
1377,How many cubes are such that two adjacent faces are red coloured and the remaining faces are not coloured?,a. 8,b. 12,c. 16,d. 24,(d)
1380,How many cubes are such that any of the faces is not coloured?,a. 6,b. 8,c. 10,d. 12,(b)
1382,"In numbers 5 8 1 3 2 7 6 4, how many digits are such that they are at the same distance from the beginning as if arranged in descending order?",a. Three,b. Two,c. One,d. None,(d)
1385,If the unit place digit and tens place digit of every number is interchanged then what will be the second greatest number?,a. 893,b. 863,c. 961,d. 725,(a)
1387,If the digits of every number are rearranged in such a way that if form the smallest possible number by the digits then what will be the biggest number out of them?,a. 368,b. 527,c. 691,d. 389,(d)
1390,"In the arithmetic expression given below, if the sign X and ÷ are interchanged then what will be the solution? 8 x 3 – 2 + 3 ÷3",a. 29 / 3,b. 9,c. 23,d. 23 / 3,(a)
1396,"In this question, ‘∆’ means “Greater than” ‘❏’ means “Less than”, ‘ϕ’ means, “equal to” and ‘⊕’ means “not equal to”  If C∆A, A∆B, DϕB, AND B⊕C, then choose the correct option in the following",a. D❏C,b. D∆C,c. A∆C,d. B⊕D,BONUS
1398,"Darshan walked 4 meters in the East, then he turned right and walked 7 meters, then he turned left and walked 5 meters again he turned left and walked 7 meters  Then finally before stopping he turned right and walked 3 meters  How far is Darshan from his initial poin",a. 10 meter,b. 11 meter,c. 12 meter,d. 13 meter,(c)
1403,If a and b are natural numbers  If A +B = 2020 then what will be the value of (-1)a +(-1)b?,a. 1 or -1,b. 2020 or -2020,c. 1010 or -1010,d. 2 or -2,(d)
1406,A square is divided into four identical rectangles  The perimeter of each of these rectangles is 20 cm  What is the perimeter of the square?,a. 80 cm,b. 50 cm,c. 48 cm,d. 32 cm,(d)
1408,What is the difference between the biggest 3-digit number having 8 as tens place and divisible by 4 and smallest 3-digit number having 8 as tens place and divisible by 4?,a. 888,b. 808,c. 708,d. 788,(b)
1424,What will be the angle between minute hand and hour hand of a watch at 12:30?,a. 180o,b. 150o,c. 175o,d. 165o,(d)
1431,"If force, momentum and displacement are represented by A, B and C respectively, then the term (AC / B)will represent:",a. Momentum,b. Acceleration,c. Velocity,d. Displacement,(c)
1433,The mass of a person on earth surface is 60 kg then his mass on the moon will be,a. 60 kg,b. 360 kg,c. 20 kg,d. 10 kg,(a)
1435,"On halved the distance between two masses, the gravitational force between them will be",a. Half,b. One-fourth,c. Four times,d. Double,(c)
1437,If the speed of the wave is 250 m/s and its wavelength is 50 cm then the frequency will be,a. 5 Hz,b. 500 Hz,c. 50 Hz,d. 12500 Hz,(b)
1440,Lens formula is,a. \(\begin{array}{l}\frac{1}{v} + \frac{1}{u} = \frac{1}{f}\end{array} \),b. \(\begin{array}{l}\frac{1}{v} + \frac{1}{2u} = \frac{1}{f}\end{array} \),c. \(\begin{array}{l}\frac{1}{v} – \frac{1}{u} = \frac{1}{f}\end{array} \),d. \(\begin{array}{l}\frac{1}{v} – \frac{1}{2u} = \frac{1}{f}\end{array} \),(c)
1442,Focal length of a lens is 50 cm  In dioptre power of lens will be,a.  0.02,b.  2,c.  0.2,d.  50,(b)
1444,Correct relation between radius of curvature (R) and Focal length (F) of spherical mirror is,a.  R = F/2,b.  R = F,c.  R = 2F,d.  R = (F)2,(c)
1447,"The resistance of a bulb marked ‘220V, 10W’ is",a. 242 Ω,b. 4840 Ω,b. 121 Ω,d. Zero,(b)
1451,Number of molecules present in 0 25 moles of water are –,a. 3.011 x 1023,b. 0.11 x 1023,c. 1.5055 x 1023,d. 15.055 x 1023,(c)
1453,Substance having equivalent number of molecules as in 9g of water,a. 12 g of Magnesium,b. 12 g of Carbon,c. 17 g of Ammonia,d. 11 g of Carbon Dioxide,(a)
1457,Molecular formula of chloride of a metal ‘M’ is MCl2  Molecular formula of oxide of ‘M’ will be,a. MO,b. M2O,c. MO2,d. M2O3,(a)
1459,Suitable method for separation of pure naphthalene from sandy naphthalene is,a. Filtration,b. Crystallisation,c. Sublimation,d. Distillation,(c)
1461,pH of the solution having hydrogen ion concentration [H+] = 1 X 10-4 mol/L will be,a. 3,b. 4,c. 7,d. 10,(b)
1463,Conjugate acid – base pair is,"a. \(\begin{array}{l}HCO_{3}^{-}, CO_{3}^{2-}\end{array} \)","b. \(\begin{array}{l}NH_{4}^{+}, NH_{2}^{-}\end{array} \)","c. OH–, H2O2","d. \(\begin{array}{l}NO_{2}^{-}, NO_{3}^{-}\end{array} \)",(a)
1466,CuSO4 + Zn → ZnSO4 + Cu,a. Zn is less reactive as compared to Cu,b. Zn is more reactive as compared to Cu,c. Reactivity of Cu and Zn is equal,d. Zn is displaced by Cu,(b)
1468,Useful substance in preparation of freezing mixture is,a. NaOH,b. NaCl,c. NaHCO3,d. CaSO4.2H2O,(b)
1471,In which of the plant group the chitinous cell wall is found,a. Algae,b. Fungi,c. Thallophyta,d. Bryophyta,(b)
1473,The light reaction occurs in which part of the chloroplast,a. Stroma,b. Outer wall,c. Grana,d. None of above,(c)
1475,Lack of which element occurs when Algal Bloom is formed in a waterbody,a. Oxygen,b. Nitrogen,c. Hydrogen,d. Calcium,(a)
1477,The plant group called “pollution indicator” is,a. Bryophyta,b. Lichen,c. Gymnosperm,d. Pteridophyta,(b)
1479,Genotypic ratio of F2 generation in monohybrid cross is :,a. 3 : 1,b. 9 : 3 : 3 : 1,c. 1 : 2 : 1,d. 1 : 3,(c)
1483,"Disease caused by Virus, is",a. Malaria,b. Diphtheria,c. Chicken pox,d. Leprosy,(c)
1485,Which of the following is not a member of phylum Arthropoda?,a. House-fly,b. Earthworm,c. Shrimp,d. Cockroach,(b)
1487,"DNA synthesis occurs, in which stage of cell cycle",a. G-I phase,b. G-II phase,c. M-phase,d. S-phase,(d)
1489,Example of Fat digesting enzyme is,a. Amylase,b. Pepsin,c. Lipase,d. Nucleases,(c)
1491,Indian scientist known for research on cosmic rays and nuclear energy,a. Dr. Prafullachandra Roy,b. Chandra Shekhara Venkat Raman,c. Dr. Panchanan Maheshwari,d. Dr. Homi Jahangir Bhabha,(d)
1494,Disease caused by deficiency of vitamin – C is,a. Scurvy,b. Night blindness,c. Beri-beri,d. Rickets,(a)
1496,If polynomials 3x3 + x2 – 4x + P and 2x3 + Px2 + 3x – 3 are divided by (x-2) then get the same remainder  What will be the value of P,a. +3,b. ⅓,c. – ⅓,d. -3,(b)
1498,Numerator of a fraction is 3 less than its denominator  If 4 is added to the numerator and 2 is subtracted from the denominator then the numerator becomes 2 times of the denominator  What will be the fraction?,a. 5/2,b. 4/5,c. 2/5,d. 5/4,(c)
1500,If each interior angle of a regular polygon is 1650 then the number of sides will be,a. 24,b. 72,c. 26,d. 12,(a)
1502,"The measures of Three angles of a triangle are in ratio 3 : 4 : 5, then the measure of its greatest angle is",a. 55o,b. 65o,c. 80o,d. 75o,(d)
1504,If the area of an equilateral triangle is 64 √3 cm2  Then its perimeter will be,a. 24 cm,b. 48 cm,c. 64 cm,d. 32 cm,(b)
1507,The time does the minute hand of a watch take to describe an angle of ¾ 𝜋 radians is –,a. 45 minutes 30 seconds,b. 45 minutes,c. 22 minutes 30 seconds,d. 22 minutes,(c)
1509,"If cosec A = 2, then the value of \(\begin{array}{l}tan A + \frac{cos A}{1+sin A}\end{array} \) will be",a. \(\begin{array}{l}\frac{1}{2\sqrt{3}}\end{array} \),b. \(\begin{array}{l}\frac{2}{\sqrt{3}}\end{array} \),c. \(\begin{array}{l}\frac{1}{\sqrt{3}}\end{array} \),d. \(\begin{array}{l}2\sqrt{3}\end{array} \),(b)
1511,"Two poles of height 12 meters and 20 meters are standing on a plane ground  If distance between their feet is 15 meters, then the distance between upper ends of poles will be",a. 15 meters,b. 16 meters,c. 17 meters,d. 18 meters,(c)
1514,Vaibhav takes 24 minutes to complete one round of a circular path of a sports field  While Rohan takes 18 minutes for the same  Suppose both of them start from the same point and at the same time and go in the same direction  After how much time will they meet again at the starting point?,a. 48 minutes,b. 24 minutes,c. 72 minutes,d. 36 minutes,(c)
1517,"If seventh term of an arithmetic progression is 20 and 22nd term is 50, then 30th term will be –",a. 66,b. 68,c. 64,d. 62,(a)
1519,"If tan3P = sin45o cos45o + sin 30o, then the value of P will be  ( P < 90o )",a. 15o and 45o,b. 15o and 60o,c. 15o and 75o,d. 45o and 60o,(c)
1521,"If ratio of length of a vertical rod and length of its shadow is √3:1, then the angle of elevation of sun will be",a. 30o,b. 45o,c. 60o,d. 90o,(c)
1523,"Triangle formed by the vertices (2, -2), (-2, 1) and (5, 2) will be –",a. Scalene triangle,b. Equilateral triangle,c. Isosceles triangle,d. Right-angle triangle,"(c), (d)"
1525,Locus of the centre of rolling circle in a plane will be,a. Circle,b. Line parallel to the plane,c. Curve,d. Line perpendicular to the plane,(b)
1527,In the given figure DE||BC and AD/DB = ⅗ if AC = 16 units then the value of AE will be,a. 4 units,b. 5 units,c. 6 units,d. 8 units,(c)
1529,The length of a minute hand of a clock is 6 cm  What will be the area (approximate) of the sector swept by this minute hand within 45 minutes,a. 85.84 cm2,b. 14.12 cm2,c. 84.85 cm2,d. 12.14 cm2,(c)
1531,"In a single throw of two dice, what will be the probability of getting a total of 8",a. 1/36,b. ⅚,c. ⅙,d. 5/36,(d)
1533,Which period is known as ‘Arab spring’?,a. 2010-2013,b. 2007-2010,c. 2006-2016,d. 2012-2015,(a)
1536,Which one of the following was not included among the Axis nations during the First World War?,a. Italy,b. Germany,c. Hungary,d. Turkey,(a)
1538,Who was the writer of ‘Ananda Math’?,a. Bal Gangadhar Tilak,b. Bankim Chandra Chatterjee,c. Dayanand Saraswati,d. Raja Rammohan Roy,(b)
1541,Dhapi Dadi is related to which village of Sikar peasant movement?,a. Kudan,b. Palthana,c. Katrathal,d. Ghassu,(a)
1543,Which newspaper compared the Neemuchana massacre to the Jallianwala Bagh massacre?,a. Rajputana,b. Riyasat,c. Rajasthan,d. Kisan,(b)
1546,Which one of the following places did not Swai Jaisingh build the observatory?,a. Agra,b. Banaras,c. Mathura,d. Ujjain,(a)
1548,Which of the following ruler’s tomb is situated in the middle of the lake?,a. Babar,b. Sher Shah,c. Akbar,d. Jahangir,(b)
1550,Which lake is located in Rajsamand district?,a. Tal chhapar,b. Nauchouki,c. Tordisagar,d. Navlekha,(b)
1552,Which one of the following is a food crop?,a. Sugarcane,b. Tobacco,c. Barley,d. Tea,(c)
1554,Which district in Rajasthan is called the cement city?,a. Chittorgarh,b. Kota,c. Bundi,d. Pratapgarh,(a)
1556,Which of the following is the highest Literacy-rate district of Rajasthan?,a. Ajmer,b. Jaipur,c. Kota,d. Udaipur,(c)
